Epoch,ctc_loss,val_ctc_loss
Epoch 0,164.3162078857422,139.86106491088867
Epoch 1,129.40792846679688,111.5926959991455
Epoch 2,108.5183334350586,90.8804500579834
Epoch 3,92.17110443115234,77.11472854614257
Epoch 4,78.90245056152344,66.94564304351806
Epoch 5,70.13081359863281,57.67594871520996
Epoch 6,63.353973388671875,52.61197719573975
Epoch 7,56.72210693359375,47.832557106018065
Epoch 8,52.61308670043945,42.4238561630249
Epoch 9,46.91888427734375,38.8529372215271
Epoch 10,42.66341018676758,36.457731533050534
Epoch 11,39.772674560546875,35.21683015823364
Epoch 12,39.772247314453125,34.474377155303955
Epoch 13,38.141693115234375,34.0475570678711
Epoch 14,36.2683219909668,33.59447374343872
Epoch 15,36.39206314086914,33.236169481277464
Epoch 16,35.345619201660156,32.89495220184326
Epoch 17,35.083614349365234,32.697015619277956
Epoch 18,34.30674362182617,32.41811304092407
Epoch 19,34.4421272277832,32.25811233520508
Epoch 20,34.31146240234375,31.985188579559328
Epoch 21,33.6218147277832,31.648638343811037
Epoch 22,33.42258071899414,31.074467658996582
Epoch 23,32.53209686279297,30.45756154060364
Epoch 24,31.79214859008789,29.843137884140013
Epoch 25,31.28720474243164,29.363100624084474
Epoch 26,31.15081787109375,28.95058403015137
Epoch 27,30.395618438720703,28.783543872833253
Epoch 28,30.034893035888672,28.61506118774414
Epoch 29,29.701202392578125,28.492153787612914
Epoch 30,29.478893280029297,27.705939722061157
Epoch 31,28.23615074157715,25.877938890457152
Epoch 32,27.435415267944336,25.192762231826784
Epoch 33,26.066797256469727,23.546221256256104
Epoch 34,25.48963165283203,23.494125843048096
Epoch 35,24.640430450439453,22.35950860977173
Epoch 36,24.123329162597656,22.792680448293687
Epoch 37,23.746353149414062,21.934839275479316
Epoch 38,24.103025436401367,22.603598377108575
Epoch 39,23.54800033569336,21.83276791870594
Epoch 40,23.676456451416016,22.53087380155921
Epoch 41,23.25347137451172,21.786558675020935
Epoch 42,23.26260757446289,22.47287952527404
Epoch 43,23.067623138427734,21.72873649895191
Epoch 44,23.170969009399414,22.430942460894585
Epoch 45,22.973407745361328,21.70545287653804
Epoch 46,23.092844009399414,22.402583563327788
Epoch 47,23.266725540161133,21.67221825644374
Epoch 48,23.28240966796875,22.3653803601861
Epoch 49,22.923254013061523,21.641763522848485
Epoch 50,22.8738956451416,22.324234613031148
Epoch 51,22.82228660583496,21.51131536774337
Epoch 52,22.637353897094727,21.691850243881344
